file,rating,rater_0.csv,rater_1.csv,rater_2.csv,majority,worst_case
1.60._Jak_StB_vydírala_Nohavicu.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.61._Hrady_musí_mít_dvojnásobek_průvodců.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.62._Policejní_šéf_by_měl_být_ve_funkci_jen_několik_let.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.63._Topolánek_zuří_pořád_říká_senátor.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.64._Křehká_květinka_má_stranu.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.65._Důrazní_prosebníci.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.66._Po_zádech_důchodců.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.67._Vybrali_si_hezký_název_říká_jeho_autor_Zeman.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.68._Neonacisté_se_snaží_působit_skrytě.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.69._Hvězda_dříve_patřila_rejdařům.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.7._Opilý_chlapec_ohrožoval_lidi_mačetou.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.70._Jak_na_radikály?_S_kapesní_brožurou.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.71._Zelení_chtějí_aby_Jiří_Čunek_odešel_z_vlády.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.72._O_nájem_olomouckých_nemocnic_bude_boj.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.73._Škodě_Auto_hrozí_stávky.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.74._Národní_fotbalový_stadion_zatím_nebude.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.75._Lobkovický_palác_láká_na_hvězdnou_expozici.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.76._Vláda_důkladně_prověří_Budvar.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.77._Hruda:_Bruselu_jsme_nemuseli_nic_vracet.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.78._Ministerstvo_zemědělství_změnilo_vedení_fondu.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.79._Volfová_neuspěla_známé_tváře_nepřišly.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.8._Langer_chce_šéfa_policie_na_pět_let.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.80._ČESKÝ_RUCH.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.81._Zahraniční_dluh_Česka_stoupl_na_122_bilionu_korun.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.82._Žaloba_kvůli_emisím_nejdříve_za_dva_týdny.txt,single_choice,nezpravodajský,krátký,krátký,krátký,--WORST-CASE
1.83._Za_které_léky_se_neplatí_lze_zjistit_na_internetu.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.84._V_cizině_chtějí_český_systém_prodeje_letenek.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.85._ODS_podpořila_další_volbu_Klause_reformy_a_radar.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.86._Vyšetřování_prověrek_v_NBÚ_policie_odložila.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.87._POLITIKON_Jindřicha_Šídla.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.88._Strany_stále_víc_závisejí_na_státní_pokladně.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.89._Padělky_měly_zničit_Británii_vězňům_zachránily_život.txt,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,nezpravodajský,--WORST-CASE
1.9._Dospělí_se_pořádně_zapotili.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.90._Národní_fotbalový_stadion?_Verdikt_se_odkládá.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.91._Agrobanka_čelí_konkurzu_stát_má_problém.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.92._Lidé_nevěří_nabídkám_levné_letecké_přepravy.txt,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.94._Češi_mění_hory_za_pobyt_u_moře.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
1.95._Za_tři_měsíce_vyneslo_mýtné_132_miliardy.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.96._Hrad_a_církev_budou_spravovat_sv._Víta_spolu.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.97._Omluva.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.98._Čunek:_Lhůta_pro_výpověď_z_bytu_déle_než_dva_roky.txt,single_choice,krátký,krátký,krátký,krátký,--WORST-CASE
1.99._Česká_spořitelna_prodlužuje_provoz_na_pobočkách.txt,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,--WORST-CASE
